;;;
Organisme collecteur;Entreprise;;
;;Activité entreprise;Versement
AGEFOS PME/AGIRES;ACCENTURE;conseil systèmes informatiques;2000
AGEFOS PME / AGIRES;ACCENTURE TECHNOLOGIES SOLUTIONS;conseil système informatique;2000
CCI MIDI PYRENEES;ADEPAD;services aide domicile;2000
CCI MIDI PYRENEES;AHMOS AERO;etudes et ingén. Aéro;2000
CCI MIDI PYRENEES;AIR FORMATION;formation aéronautique;2000
OPCAIM;AIRBUS;aéronautique;2000
FAFIEC;AKKA INGENIERIE PROCESS;ingénierie et conseil en technologies;2000
AGEFOS PME / AGIRES;ALIMENTATION LE NEURES ET CIE SARL;commerce alimentation;2000
CCI PARIS ILE DE FRANCE;ALTEN ;conseil en reseaux/Télécoms;2000
CCI PARIS ILE DE FRANCE;ALTEN SIR;conseil en reseaux/Télécoms;2000
;ANTAVIA;maintenance aéronautique;2000
OPCAIM;ASSISTANCE AERONAUTIQUE ET AEROSPATIAL AAA;assistance aéronautique;2000
FAFIEC;ASSYSTEM FRANCE;ingénierie informatique;2000
CCI MIDI PYRENEES;ATEPAC SARL;grossiste matériel électrique;2000
CCI PARIS ILE DE FRANCE;BANQUE DE FRANCE;banques ;2000
CCI MIDI PYRENEES;BIEN CHEZ VOUS;aide domicile;2000
CCI MIDI PYRENEES;BIEN CHEZ VOUS;aide domicile;2000
AGEFOS PME / AGIRES;CAP PAYS CATHARE;transport autobus;2000
AGEFOS PME / AGIRES;CAP100T;éditions de progiciels pour médical;2000
FAFIEC;CAPGEMINI TECHNOLOGIES SERVICES;développements informatiques;2000
ANFA;CARROSSERIE MARIOJOULS;carrossier;2000
AGEFOS PME / AGIRES;CEGELEC TOULOUSE;maintenance électrique;2000
CCI MIDI PYRENEES;CELAD;services informatiques ss2I;2000
CCI MIDI PYRENEES;CIR;roulements;2000
OCTA LANGUEDOC ROUSSILLON;CLIMACTION;installateurs de climatisations;2000
CCI MIDI PYRENEES;COGILOG;edition logiciels comptables;2000
CCI MIDI PYRENEES;COLLECTE LOCALISATION SATELLITE;télécoms satellites;2000
CCI MIDI PYRENEES;COMPOSER SCOP SA;pré-presse;2000
;COMPUTACENTER;conseil en informatique;2000
OCTALIA;CONSUEL;securité électrique;2000
CCI MIDI PYRENEES;CRCAM TOULOUSE;crédit agricole toulouse;2000
Chambre régionale d'agriculture;CREDIT AGRICOLE 31;banque;2000
FAFIEC;DECILOGIC;ingénierie des flux systèmes d'information;2000
CCI MIDI PYRENEES;DIETSMANN TECHNOLOGIE;réparation équipements électriques;2000
AGEFOS PME / AGIRES;EDF;production électrique;2000
AGEFOS PME/AGIRES;EIFFAGE;génie énergie/énergie/fer;2000
CCI PARIS ILE DE FRANCE;ELIPSIS ASSET MANAGEMENT;spectacle du vivant;2000
;ENGIE INEO MPLR;communication/transport/énergie;2000
AGEFOS PME / AGIRES;ENTREPRISE GÉNÉRALE ELECTRIQUE (VINCI);installations électriques;2000
FAFIEC;EOLE CONSULTING;SS2I informatique de gestion;2000
CCI MIDI PYRENEES;EREMS;études réalisations électroniques;2000
AGEFOS PME / AGIRES;ESRI FRANCE SA;editeur logiciel;2000
OPCAIM;ESTERLINE AVIONIC ET CONTROL;équipement de navigation avion;2000
CCI MIDI PYRENEES;ETIENNE LACROIX TOUS ARTIFICES;produits explosifs;2000
CCI CENTRE;EUROFEU;matériels incendie;2000
FAFIEC;EUROGICIEL INGENIERIE;systèmes et logiciels informatiques;2000
CCI PARIS ILE DE FRANCE;EXANE;investisseur financier;2000
CCI PARIS ILE DE FRANCE;EXANE ASSET MANAGEMENT;investisseur financier;2000
AGEFOS PME / AGIRES;FACEO FM SUD OUEST (VINCI);bâtiment et aménagement;2000
CCI MIDI PYRENEES;FIRECORE;conseil affaires et gestion;2000
FAFIEC;FONDS LIBRES;fonds libres;2000
FAF.TT;FONDS LIBRES Fonds d'Assur Form du Trav Temp;fonds libres;2000
CCI MIDI PYRENEES;FORMI;developpement logicels;2000
CCI MIDI PYRENEES;FORSK;Réseaux ss fil et ingén. Logicielle;2000
AGEFOS PME / AGIRES;GFI BUS SASU;ingénierie informatique;2000
AGEFOS PME / AGIRES;GFI INFORMATIQUE;ingénierie informatique;2000
AGEFOS PME / AGIRES;GFI INFRASTRUCTURES PRODUCTIONS;ingénierie informatique;2000
AGEFOS PME / AGIRES;GFI PROGICIELS;ingénierie informatique;2000
;GIE ATR;construction aéronautique et spatial;2000
CCI MIDI PYRENEES;GROUPE LMS;solutions impressions;2000
OPCAIM;HERAKLES;aéronautique et propulsion;2000
CCI MIDI PYRENEES;HOLDING PASTORELLO GESTION;services financier;2000
;HONEYWELL AEROSPACE;systèmes pour aérospatial et défense;2000
AGEFOS PME / AGIRES;IDA INFORMATIQUE SARL;entreprises logiciels;2000
CCI MIDI PYRENEES;IGE + XAO;simulation électronique et PLM;2000
CCI BRETAGNE;INDUSTRIE PRODUITS CHIMIQUES;chimie;2000
;INEO INFRACOM;génie civil;2000
;INEO INFRACOM;génie civil;2000
;INEO SCLE FERROVIAIRE (ENGIE);electrification ferroviaire;2000
CCI MIDI PYRENEES;INFOMIL;entreprises logiciels;2000
OCTA LANGUEDOC ROUSSILLON;JBOPTIC;commerce optique;2000
FAFIEC;KRATOS INTEGRAL SYSTEMS EUROPE;communications satellites;2000
AGEFOS PME / AGIRES;LES COURRIERS DE LA GARONNE;transport autobus;2000
